src,dst,cost
us-east-1,us-east-1,0.0
us-east-1,us-west-2,0.02
us-east-1,eu-west-1,0.02
us-east-1,ap-southeast-1,0.02
us-east-1,ap-northeast-1,0.02
us-east-1,sa-east-1,0.02
us-east-1,internet,0.09
us-west-2,us-east-1,0.02
us-west-2,us-west-2,0.0
us-west-2,eu-west-1,0.02
us-west-2,ap-southeast-1,0.02
us-west-2,ap-northeast-1,0.02
us-west-2,sa-east-1,0.02
us-west-2,internet,0.09
eu-west-1,us-east-1,0.02
eu-west-1,us-west-2,0.02
eu-west-1,eu-west-1,0.0
eu-west-1,ap-southeast-1,0.02
eu-west-1,ap-northeast-1,0.02
eu-west-1,sa-east-1,0.02
eu-west-1,internet,0.09
ap-southeast-1,us-east-1,0.09
ap-southeast-1,us-west-2,0.09
ap-southeast-1,eu-west-1,0.09
ap-southeast-1,ap-southeast-1,0.0
ap-southeast-1,ap-northeast-1,0.09
ap-southeast-1,sa-east-1,0.09
ap-southeast-1,internet,0.12
ap-northeast-1,us-east-1,0.09
ap-northeast-1,us-west-2,0.09
ap-northeast-1,eu-west-1,0.09
ap-northeast-1,ap-southeast-1,0.09
ap-northeast-1,ap-northeast-1,0.0
ap-northeast-1,sa-east-1,0.09
ap-northeast-1,internet,0.12
sa-east-1,us-east-1,0.138
sa-east-1,us-west-2,0.138
sa-east-1,eu-west-1,0.138
sa-east-1,ap-southeast-1,0.138
sa-east-1,ap-northeast-1,0.138
sa-east-1,sa-east-1,0.0
sa-east-1,internet,0.15
us-east1,internet,0.12
us-east1,us-east1,0.0
us-east1,us-west1,0.01
us-east1,europe-west1,0.08
us-east1,asia-southeast1,0.08
us-east1,asia-northeast1,0.08
us-east1,southamerica-east1,0.08
us-west1,internet,0.12
us-west1,us-east1,0.01
us-west1,us-west1,0.0
us-west1,europe-west1,0.08
us-west1,asia-southeast1,0.08
us-west1,asia-northeast1,0.08
us-west1,southamerica-east1,0.08
europe-west1,internet,0.12
europe-west1,us-east1,0.08
europe-west1,us-west1,0.08
europe-west1,europe-west1,0.0
europe-west1,asia-southeast1,0.08
europe-west1,asia-northeast1,0.08
europe-west1,southamerica-east1,0.08
asia-southeast1,internet,0.12
asia-southeast1,us-east1,0.08
asia-southeast1,us-west1,0.08
asia-southeast1,europe-west1,0.08
asia-southeast1,asia-southeast1,0.0
asia-southeast1,asia-northeast1,0.01
asia-southeast1,southamerica-east1,0.08
asia-northeast1,internet,0.12
asia-northeast1,us-east1,0.08
asia-northeast1,us-west1,0.08
asia-northeast1,europe-west1,0.08
asia-northeast1,asia-southeast1,0.01
asia-northeast1,asia-northeast1,0.0
asia-northeast1,southamerica-east1,0.08
southamerica-east1,internet,0.18
southamerica-east1,us-east1,0.14
southamerica-east1,us-west1,0.14
southamerica-east1,europe-west1,0.14
southamerica-east1,asia-southeast1,0.14
southamerica-east1,asia-northeast1,0.14
southamerica-east1,southamerica-east1,0.0
eastus,internet,0.087
eastus,eastus,0.0
eastus,westus2,0.02
eastus,westeurope,0.087
eastus,southeastasia,0.087
eastus,japaneast,0.087
eastus,brazilsouth,0.087
westus2,internet,0.087
westus2,eastus,0.02
westus2,westus2,0.0
westus2,westeurope,0.087
westus2,southeastasia,0.087
westus2,japaneast,0.087
westus2,brazilsouth,0.087
westeurope,internet,0.087
westeurope,eastus,0.087
westeurope,westus2,0.087
westeurope,westeurope,0.0
westeurope,southeastasia,0.087
westeurope,japaneast,0.087
westeurope,brazilsouth,0.087
southeastasia,internet,0.12
southeastasia,eastus,0.08
southeastasia,westus2,0.08
southeastasia,westeurope,0.08
southeastasia,southeastasia,0.0
southeastasia,japaneast,0.02
southeastasia,brazilsouth,0.08
japaneast,internet,0.12
japaneast,eastus,0.08
japaneast,westus2,0.08
japaneast,westeurope,0.08
japaneast,southeastasia,0.02
japaneast,japaneast,0.0
japaneast,brazilsouth,0.08
brazilsouth,internet,0.181
brazilsouth,eastus,0.16
brazilsouth,westus2,0.16
brazilsouth,westeurope,0.16
brazilsouth,southeastasia,0.16
brazilsouth,japaneast,0.16
brazilsouth,brazilsouth,0.0
