src_region,dst_region,latency_rtt_ms
aws:ap-northeast-1,aws:ap-southeast-1,66.37
aws:ap-northeast-1,aws:eu-west-1,215.73
aws:ap-northeast-1,aws:sa-east-1,254.70
aws:ap-northeast-1,aws:us-east-1,142.44
aws:ap-northeast-1,aws:us-west-2,97.53
aws:ap-northeast-1,azure:brazilsouth,264.22
aws:ap-northeast-1,azure:eastus,158.76
aws:ap-northeast-1,azure:japaneast,2.45
aws:ap-northeast-1,azure:southeastasia,70.47
aws:ap-northeast-1,azure:westeurope,221.12
aws:ap-northeast-1,azure:westus2,98.28
aws:ap-northeast-1,gcp:asia-northeast1,2.79
aws:ap-northeast-1,gcp:asia-southeast1,70.67
aws:ap-northeast-1,gcp:europe-west1,240.91
aws:ap-northeast-1,gcp:southamerica-east1,255.30
aws:ap-northeast-1,gcp:us-east1,158.32
aws:ap-northeast-1,gcp:us-west1,92.50
aws:ap-southeast-1,aws:ap-northeast-1,66.05
aws:ap-southeast-1,aws:eu-west-1,173.31
aws:ap-southeast-1,aws:sa-east-1,318.81
aws:ap-southeast-1,aws:us-east-1,215.98
aws:ap-southeast-1,aws:us-west-2,157.97
aws:ap-southeast-1,azure:brazilsouth,325.32
aws:ap-southeast-1,azure:eastus,224.89
aws:ap-southeast-1,azure:japaneast,68.41
aws:ap-southeast-1,azure:southeastasia,1.73
aws:ap-southeast-1,azure:westeurope,163.57
aws:ap-southeast-1,azure:westus2,161.27
aws:ap-southeast-1,gcp:asia-northeast1,79.00
aws:ap-southeast-1,gcp:asia-southeast1,1.39
aws:ap-southeast-1,gcp:europe-west1,242.63
aws:ap-southeast-1,gcp:southamerica-east1,330.21
aws:ap-southeast-1,gcp:us-east1,228.34
aws:ap-southeast-1,gcp:us-west1,166.10
aws:eu-west-1,aws:ap-northeast-1,215.61
aws:eu-west-1,aws:ap-southeast-1,173.30
aws:eu-west-1,aws:sa-east-1,178.07
aws:eu-west-1,aws:us-east-1,67.88
aws:eu-west-1,aws:us-west-2,137.81
aws:eu-west-1,azure:brazilsouth,169.65
aws:eu-west-1,azure:eastus,67.30
aws:eu-west-1,azure:japaneast,246.09
aws:eu-west-1,azure:southeastasia,182.50
aws:eu-west-1,azure:westeurope,20.65
aws:eu-west-1,azure:westus2,132.66
aws:eu-west-1,gcp:asia-northeast1,245.24
aws:eu-west-1,gcp:asia-southeast1,241.92
aws:eu-west-1,gcp:europe-west1,22.99
aws:eu-west-1,gcp:southamerica-east1,198.66
aws:eu-west-1,gcp:us-east1,95.35
aws:eu-west-1,gcp:us-west1,145.23
aws:sa-east-1,aws:ap-northeast-1,254.69
aws:sa-east-1,aws:ap-southeast-1,318.81
aws:sa-east-1,aws:eu-west-1,178.07
aws:sa-east-1,aws:us-east-1,112.30
aws:sa-east-1,aws:us-west-2,174.24
aws:sa-east-1,azure:brazilsouth,5.74
aws:sa-east-1,azure:eastus,114.33
aws:sa-east-1,azure:japaneast,272.88
aws:sa-east-1,azure:southeastasia,329.27
aws:sa-east-1,azure:westeurope,192.25
aws:sa-east-1,azure:westus2,181.41
aws:sa-east-1,gcp:asia-northeast1,262.39
aws:sa-east-1,gcp:asia-southeast1,328.90
aws:sa-east-1,gcp:europe-west1,191.19
aws:sa-east-1,gcp:southamerica-east1,2.31
aws:sa-east-1,gcp:us-east1,127.20
aws:sa-east-1,gcp:us-west1,174.56
aws:us-east-1,aws:ap-northeast-1,142.42
aws:us-east-1,aws:ap-southeast-1,214.12
aws:us-east-1,aws:eu-west-1,67.87
aws:us-east-1,aws:sa-east-1,112.60
aws:us-east-1,aws:us-west-2,56.71
aws:us-east-1,azure:brazilsouth,114.82
aws:us-east-1,azure:eastus,3.47
aws:us-east-1,azure:japaneast,162.23
aws:us-east-1,azure:southeastasia,222.28
aws:us-east-1,azure:westeurope,82.95
aws:us-east-1,azure:westus2,69.18
aws:us-east-1,gcp:asia-northeast1,161.32
aws:us-east-1,gcp:asia-southeast1,223.84
aws:us-east-1,gcp:europe-west1,81.21
aws:us-east-1,gcp:southamerica-east1,121.95
aws:us-east-1,gcp:us-east1,12.65
aws:us-east-1,gcp:us-west1,64.30
aws:us-west-2,aws:ap-northeast-1,97.58
aws:us-west-2,aws:ap-southeast-1,158.64
aws:us-west-2,aws:eu-west-1,136.28
aws:us-west-2,aws:sa-east-1,174.71
aws:us-west-2,aws:us-east-1,56.70
aws:us-west-2,azure:brazilsouth,188.59
aws:us-west-2,azure:eastus,75.70
aws:us-west-2,azure:japaneast,99.91
aws:us-west-2,azure:southeastasia,162.57
aws:us-west-2,azure:westeurope,156.17
aws:us-west-2,azure:westus2,13.04
aws:us-west-2,gcp:asia-northeast1,107.97
aws:us-west-2,gcp:asia-southeast1,170.43
aws:us-west-2,gcp:europe-west1,143.78
aws:us-west-2,gcp:southamerica-east1,176.02
