src_region,dst_region,src_tier,dst_tier,throughput_sent
aws:ap-northeast-1,aws:ap-southeast-1,PREMIUM,PREMIUM,1.405
aws:ap-northeast-1,aws:eu-west-1,PREMIUM,PREMIUM,0.046
aws:ap-northeast-1,aws:sa-east-1,PREMIUM,PREMIUM,0.037
aws:ap-northeast-1,aws:us-east-1,PREMIUM,PREMIUM,1.101
aws:ap-northeast-1,aws:us-west-2,PREMIUM,PREMIUM,1.734
aws:ap-northeast-1,azure:brazilsouth,PREMIUM,PREMIUM,0.085
aws:ap-northeast-1,azure:eastus,PREMIUM,PREMIUM,0.829
aws:ap-northeast-1,azure:japaneast,PREMIUM,PREMIUM,4.421
aws:ap-northeast-1,azure:southeastasia,PREMIUM,PREMIUM,1.582
aws:ap-northeast-1,azure:westeurope,PREMIUM,PREMIUM,0.078
aws:ap-northeast-1,azure:westus2,PREMIUM,PREMIUM,0.803
aws:ap-northeast-1,gcp:asia-northeast1,PREMIUM,PREMIUM,4.693
aws:ap-northeast-1,gcp:asia-southeast1,PREMIUM,PREMIUM,1.296
aws:ap-northeast-1,gcp:europe-west1,PREMIUM,PREMIUM,0.030
aws:ap-northeast-1,gcp:southamerica-east1,PREMIUM,PREMIUM,0.028
aws:ap-northeast-1,gcp:us-east1,PREMIUM,PREMIUM,0.563
aws:ap-northeast-1,gcp:us-west1,PREMIUM,PREMIUM,1.436
aws:ap-southeast-1,aws:ap-northeast-1,PREMIUM,PREMIUM,1.824
aws:ap-southeast-1,aws:eu-west-1,PREMIUM,PREMIUM,0.547
aws:ap-southeast-1,aws:sa-east-1,PREMIUM,PREMIUM,0.032
aws:ap-southeast-1,aws:us-east-1,PREMIUM,PREMIUM,0.043
aws:ap-southeast-1,aws:us-west-2,PREMIUM,PREMIUM,0.661
aws:ap-southeast-1,azure:brazilsouth,PREMIUM,PREMIUM,0.063
aws:ap-southeast-1,azure:eastus,PREMIUM,PREMIUM,0.084
aws:ap-southeast-1,azure:japaneast,PREMIUM,PREMIUM,0.795
aws:ap-southeast-1,azure:southeastasia,PREMIUM,PREMIUM,4.066
aws:ap-southeast-1,azure:westeurope,PREMIUM,PREMIUM,0.723
aws:ap-southeast-1,azure:westus2,PREMIUM,PREMIUM,0.190
aws:ap-southeast-1,gcp:asia-northeast1,PREMIUM,PREMIUM,1.523
aws:ap-southeast-1,gcp:asia-southeast1,PREMIUM,PREMIUM,4.474
aws:ap-southeast-1,gcp:europe-west1,PREMIUM,PREMIUM,0.031
aws:ap-southeast-1,gcp:southamerica-east1,PREMIUM,PREMIUM,0.031
aws:ap-southeast-1,gcp:us-east1,PREMIUM,PREMIUM,0.031
