max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
1,gcp:asia-northeast1,azure:eastus,4,5.0,500.0,True,272.7,26.651514210281434,17,1,0.09467633299999889
1,gcp:asia-northeast1,azure:eastus,4,10.0,500.0,True,586.5120000000001,23.52758903893195,17,2,0.07427350000000033
1,gcp:us-east1,aws:sa-east-1,4,5.0,500.0,True,272.16,32.0,17,1,0.07332933300000022
1,gcp:us-east1,aws:sa-east-1,4,10.0,500.0,True,549.8280000000001,11.02936513611742,17,2,0.07469491600000033
2,gcp:asia-northeast1,azure:eastus,4,5.0,500.0,True,272.7,26.651514210281434,257,1,0.8841458749999997
2,gcp:asia-northeast1,azure:eastus,4,10.0,500.0,True,586.5120000000001,23.52758903893195,257,2,0.8823534160000008
2,gcp:us-east1,aws:sa-east-1,4,5.0,500.0,True,272.16,32.0,257,1,0.8792480420000004
2,gcp:us-east1,aws:sa-east-1,4,10.0,500.0,True,549.8280000000001,11.02936513611742,257,2,0.8778057090000004
3,gcp:asia-northeast1,azure:eastus,4,5.0,500.0,True,272.7,26.651514210281434,3617,1,16.318131375
3,gcp:asia-northeast1,azure:eastus,4,10.0,500.0,True,586.5120000000001,23.52758903893195,3617,2,17.164765041000003
3,gcp:us-east1,aws:sa-east-1,4,5.0,500.0,True,272.16,32.0,3617,1,17.494239416
3,gcp:us-east1,aws:sa-east-1,4,10.0,500.0,True,549.8280000000011,11.02936513611742,3617,2,16.251582958
