max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
1,aws:us-east-1,azure:brazilsouth,1,5.0,200.0,True,347.11965,1.2615158023875963,17.0,5,0.09929470799999995
1,aws:us-east-1,azure:brazilsouth,1,5.0,500.0,True,335.91240000000005,2.554920974931914,17.0,7,0.07652670799999983
1,aws:us-east-1,azure:brazilsouth,1,10.0,200.0,False,,,,0,0.06900675000000023
1,aws:us-east-1,azure:brazilsouth,1,10.0,500.0,False,,,,0,0.06684370799999995
1,aws:us-east-1,azure:brazilsouth,1,15.0,200.0,False,,,,0,0.08797599999999983
1,aws:us-east-1,azure:brazilsouth,1,15.0,500.0,False,,,,0,0.06916549999999999
1,aws:us-east-1,azure:brazilsouth,2,5.0,200.0,True,285.4440000000001,6.544593285262746,17.0,2,0.08012387499999996
1,aws:us-east-1,azure:brazilsouth,2,5.0,500.0,True,273.699,2.554920974931914,17.0,5,0.09406712500000003
1,aws:us-east-1,azure:brazilsouth,2,10.0,200.0,True,693.1592999999999,1.2786093071812257,17.0,5,0.07820858299999989
1,aws:us-east-1,azure:brazilsouth,2,10.0,500.0,True,670.5085499999999,2.2347406150815488,17.0,8,0.07995624999999995
1,aws:us-east-1,azure:brazilsouth,2,15.0,200.0,False,,,,0,0.0756613749999997
1,aws:us-east-1,azure:brazilsouth,2,15.0,500.0,False,,,,0,0.09156095800000008
1,aws:us-east-1,azure:brazilsouth,4,5.0,200.0,True,205.19999999999996,9.255776115465554,17.0,1,0.08136162499999999
1,aws:us-east-1,azure:brazilsouth,4,5.0,500.0,True,205.19999999999996,28.729321487789946,17.0,1,0.07353466600000003
1,aws:us-east-1,azure:brazilsouth,4,10.0,200.0,True,570.3480000000001,6.797298263304061,17.0,2,0.09392116699999997
1,aws:us-east-1,azure:brazilsouth,4,10.0,500.0,True,546.3180000000001,2.5726448641715614,17.0,5,0.07574879199999973
1,aws:us-east-1,azure:brazilsouth,4,15.0,200.0,True,967.5216000000001,6.8859265318187575,17.0,3,0.07479720899999975
1,aws:us-east-1,azure:brazilsouth,4,15.0,500.0,True,939.4596,2.578607599867496,17.0,6,0.07604900000000026
1,aws:us-east-1,gcp:europe-west1,1,5.0,200.0,True,293.03999999999996,2.14834151483452,17.0,4,0.0890749999999998
1,aws:us-east-1,gcp:europe-west1,1,5.0,500.0,True,293.03999999999996,8.609195150745766,17.0,4,0.07190166600000003
1,aws:us-east-1,gcp:europe-west1,1,10.0,200.0,False,,,,0,0.07182904099999998
1,aws:us-east-1,gcp:europe-west1,1,10.0,500.0,False,,,,0,0.08935041600000027
1,aws:us-east-1,gcp:europe-west1,1,15.0,200.0,False,,,,0,0.0730978750000002
1,aws:us-east-1,gcp:europe-west1,1,15.0,500.0,False,,,,0,0.07366262499999987
1,aws:us-east-1,gcp:europe-west1,2,5.0,200.0,True,230.958,7.747270169409312,17.0,2,0.09059170799999983
1,aws:us-east-1,gcp:europe-west1,2,5.0,500.0,True,230.958,22.78370059460623,17.0,2,0.08144120800000021
1,aws:us-east-1,gcp:europe-west1,2,10.0,200.0,True,585.0,2.1860040541447567,17.0,4,0.0755473749999993
1,aws:us-east-1,gcp:europe-west1,2,10.0,500.0,True,585.0,8.760122807524496,17.0,4,0.07371999999999979
1,aws:us-east-1,gcp:europe-west1,2,15.0,200.0,False,,,,0,0.08902154100000015
1,aws:us-east-1,gcp:europe-west1,2,15.0,500.0,False,,,,0,0.07360012500000046
1,aws:us-east-1,gcp:europe-west1,4,5.0,200.0,True,213.336,7.747270169409311,17.0,2,0.07780195800000023
1,aws:us-east-1,gcp:europe-west1,4,5.0,500.0,True,213.336,22.78370059460623,17.0,2,0.09545604200000035
1,aws:us-east-1,gcp:europe-west1,4,10.0,200.0,True,461.376,8.070889831879956,17.0,2,0.07610816700000012
1,aws:us-east-1,gcp:europe-west1,4,10.0,500.0,True,461.376,23.735423373730754,17.0,2,0.0749415830000002
1,aws:us-east-1,gcp:europe-west1,4,15.0,200.0,True,785.3399999999999,2.1988534083024938,17.0,4,0.07676437499999977
1,aws:us-east-1,gcp:europe-west1,4,15.0,500.0,True,785.3399999999999,8.811614898861531,17.0,4,0.09061945900000001
1,gcp:asia-northeast1,azure:eastus,1,5.0,200.0,True,324.297,6.403205827746348,17.0,3,0.07403516599999982
1,gcp:asia-northeast1,azure:eastus,1,5.0,500.0,True,322.04295,3.3140527348810593,17.0,4,0.07292924999999961
1,gcp:asia-northeast1,azure:eastus,1,10.0,200.0,False,,,,0,0.10068725
1,gcp:asia-northeast1,azure:eastus,1,10.0,500.0,False,,,,0,0.07016720799999998
1,gcp:asia-northeast1,azure:eastus,1,15.0,200.0,False,,,,0,0.07134091699999967
1,gcp:asia-northeast1,azure:eastus,1,15.0,500.0,False,,,,0,0.07244558300000037
1,gcp:asia-northeast1,azure:eastus,2,5.0,200.0,True,293.52600000000007,6.403205827746348,17.0,2,0.08527154200000009
1,gcp:asia-northeast1,azure:eastus,2,5.0,500.0,True,293.526,22.5166290406303,17.0,2,0.07230124999999976
1,gcp:asia-northeast1,azure:eastus,2,10.0,200.0,True,647.514,6.690699348249023,17.0,3,0.07705375000000014
1,gcp:asia-northeast1,azure:eastus,2,10.0,500.0,True,643.0059000000001,3.339281401612052,17.0,4,0.0988917090000001
1,gcp:asia-northeast1,azure:eastus,2,15.0,200.0,False,,,,0,0.07620137500000013
1,gcp:asia-northeast1,azure:eastus,2,15.0,500.0,False,,,,0,0.07373249999999931
1,gcp:asia-northeast1,azure:eastus,4,5.0,200.0,True,272.7,7.534609411399618,17.0,1,0.09796208400000062
1,gcp:asia-northeast1,azure:eastus,4,5.0,500.0,True,272.7,26.651514210281434,17.0,1,0.07552333300000047
1,gcp:asia-northeast1,azure:eastus,4,10.0,200.0,True,586.5120000000001,6.690699348249023,17.0,2,0.08413329199999975
1,gcp:asia-northeast1,azure:eastus,4,10.0,500.0,True,586.5120000000001,23.52758903893195,17.0,2,0.07823950000000046
1,gcp:asia-northeast1,azure:eastus,4,15.0,200.0,True,902.5920000000001,6.792354570149115,17.0,2,0.09307958399999983
1,gcp:asia-northeast1,azure:eastus,4,15.0,500.0,True,902.5920000000001,23.88505574906783,17.0,2,0.0768256660000004
