V,max_hops,src,dst,num_candidate_paths,feasible,solve_time_s
18,2,aws:ap-northeast-1,gcp:asia-northeast1,257,True,1.0240153749999998
18,2,gcp:us-east1,aws:ap-northeast-1,257,True,1.157255416
18,2,aws:sa-east-1,aws:us-east-1,257,True,0.9234533340000004
18,2,aws:eu-west-1,azure:brazilsouth,257,True,1.0845809159999993
18,2,gcp:us-east1,azure:eastus,257,True,1.020687167000001
18,2,aws:us-east-1,gcp:europe-west1,257,True,0.9532410410000001
18,2,gcp:us-east1,gcp:europe-west1,257,True,0.9477835419999998
18,2,aws:us-east-1,azure:japaneast,257,True,1.0235292499999993
18,2,aws:sa-east-1,azure:eastus,257,True,2.1028272500000007
18,2,azure:westus2,aws:eu-west-1,257,True,1.0350762079999996
18,2,gcp:asia-southeast1,gcp:southamerica-east1,257,True,1.1534514169999994
18,2,gcp:us-west1,gcp:europe-west1,257,True,0.9808961249999992
18,2,gcp:europe-west1,azure:japaneast,257,True,1.3887979999999978
18,2,aws:eu-west-1,aws:us-east-1,257,True,1.877887916999999
18,2,azure:japaneast,aws:ap-northeast-1,257,True,1.0798353749999983
24,2,aws:us-east-1,azure:eastus,485,True,1.8473746670000004
24,2,aws:sa-east-1,aws:ap-northeast-1,485,True,1.9231469590000003
24,2,gcp:asia-southeast1,aws:ap-southeast-1,485,True,1.8827671250000009
24,2,gcp:southamerica-east1,aws:us-east-1,485,True,1.77967825
24,2,azure:japaneast,gcp:us-east1,485,True,2.036160250000002
24,2,azure:japaneast,gcp:europe-west1,485,True,1.8321545419999978
24,2,gcp:europe-west1__dup5,aws:us-east-1,485,True,2.081790083999998
24,2,azure:southeastasia,gcp:asia-northeast1,485,True,1.9605965000000012
24,2,gcp:europe-west1,azure:eastus,485,True,1.8647715829999996
24,2,gcp:us-east1,gcp:europe-west1,485,True,1.7305856250000033
24,2,azure:southeastasia,gcp:us-west1,485,True,1.9189656249999985
24,2,aws:ap-southeast-1,azure:brazilsouth__dup1,485,True,1.9978970410000016
24,2,gcp:southamerica-east1,aws:us-west-2,485,True,1.8954075830000008
24,2,gcp:us-east1,gcp:asia-southeast1,485,True,1.7953494170000042
24,2,azure:brazilsouth,azure:westus2,485,True,1.9253337080000037
30,2,gcp:asia-northeast1,aws:ap-northeast-1,785,True,3.147193791999996
30,2,aws:us-west-2,azure:eastus__dup5,785,True,3.315903457999994
